file_path,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,seed,success,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,target,foil,choices,combination_order,choices_in_order,round,condition,trial_counter,target_location,trial_kind,correct,old_subject_id
/Users/martincz/Documents/Madison/Sapirlab/colorRuleKid/norming/v1/analysis/../data/raw_data/adults/color-rule-kid-norming_CAN_101_FINAL_SESSION_2023-03-06_12h01.16.859.csv,html-button-response,5,797539,0.0-5.0-0.0,CAN_101,101,NA,NA,NA,NA,NA,7057,"<button class=""jspsych-btn""><img src=""stimuli/star.png"" style=""width: 200px;height: 200px;""></button>",1,star,square,"[""square"",""star""]",left-right,"[""square"",""star""]",1,practice,1,right,response,1,CAN_101
/Users/martincz/Documents/Madison/Sapirlab/colorRuleKid/norming/v1/analysis/../data/raw_data/adults/color-rule-kid-norming_CAN_101_FINAL_SESSION_2023-03-06_12h01.16.859.csv,html-button-response,9,801327,0.0-8.0-0.0,CAN_101,101,NA,NA,NA,NA,NA,1007,"<button class=""jspsych-btn""><img src=""stimuli/triangle.png"" style=""width: 200px;height: 200px;""></button>",0,triangle,pentagram,"[""triangle"",""pentagram""]",left-right,"[""triangle"",""pentagram""]",1,practice,1,left,response,1,CAN_101
/Users/martincz/Documents/Madison/Sapirlab/colorRuleKid/norming/v1/analysis/../data/raw_data/adults/color-rule-kid-norming_CAN_101_FINAL_SESSION_2023-03-06_12h01.16.859.csv,html-button-response,13,803915,0.0-11.0-0.0,CAN_101,101,NA,NA,NA,NA,NA,1036,"<button class=""jspsych-btn""><img src=""stimuli/diamond.png"" style=""width: 200px;height: 200px;""></button>",1,diamond,rectangle,"[""rectangle"",""diamond""]",left-right,"[""rectangle"",""diamond""]",1,practice,1,right,response,1,CAN_101
/Users/martincz/Documents/Madison/Sapirlab/colorRuleKid/norming/v1/analysis/../data/raw_data/adults/color-rule-kid-norming_CAN_101_FINAL_SESSION_2023-03-06_12h01.16.859.csv,html-button-response,17,806369,0.0-14.0-0.0,CAN_101,101,NA,NA,NA,NA,NA,869,"<button class=""jspsych-btn""><img src=""stimuli/pentagram.png"" style=""width: 200px;height: 200px;""></button>",0,pentagram,star,"[""pentagram"",""star""]",left-right,"[""pentagram"",""star""]",1,practice,1,left,response,1,CAN_101
/Users/martincz/Documents/Madison/Sapirlab/colorRuleKid/norming/v1/analysis/../data/raw_data/adults/color-rule-kid-norming_CAN_101_FINAL_SESSION_2023-03-06_12h01.16.859.csv,html-button-response,22,821856,0.0-18.0-0.0,CAN_101,101,NA,NA,NA,NA,NA,736,"<button class=""jspsych-btn""><img src=""stimuli/pink.png"" style=""width: 200px;height: 200px;""></button>",0,pink,darkgreenblue,"[""pink"",""darkgreenblue"",""low nameability""]",left-right,"[""pink"",""darkgreenblue"",""low nameability""]",1,low nameability,1,left,response,1,CAN_101
/Users/martincz/Documents/Madison/Sapirlab/colorRuleKid/norming/v1/analysis/../data/raw_data/adults/color-rule-kid-norming_CAN_101_FINAL_SESSION_2023-03-06_12h01.16.859.csv,html-button-response,26,824045,0.0-21.0-0.0,CAN_101,101,NA,NA,NA,NA,NA,740,"<button class=""jspsych-btn""><img src=""stimuli/yellow.png"" style=""width: 200px;height: 200px;""></button>",1,yellow,red,"[""yellow"",""red"",""high nameability""]",right-left,"[""red"",""yellow""]",1,high nameability,2,right,response,1,CAN_101
/Users/martincz/Documents/Madison/Sapirlab/colorRuleKid/norming/v1/analysis/../data/raw_data/adults/color-rule-kid-norming_CAN_101_FINAL_SESSION_2023-03-06_12h01.16.859.csv,html-button-response,30,826235,0.0-24.0-0.0,CAN_101,101,NA,NA,NA,NA,NA,678,"<button class=""jspsych-btn""><img src=""stimuli/purple.png"" style=""width: 200px;height: 200px;""></button>",1,purple,brown,"[""purple"",""brown"",""high nameability""]",right-left,"[""brown"",""purple""]",1,high nameability,3,right,response,1,CAN_101
/Users/martincz/Documents/Madison/Sapirlab/colorRuleKid/norming/v1/analysis/../data/raw_data/adults/color-rule-kid-norming_CAN_101_FINAL_SESSION_2023-03-06_12h01.16.859.csv,html-button-response,34,828299,0.0-27.0-0.0,CAN_101,101,NA,NA,NA,NA,NA,656,"<button class=""jspsych-btn""><img src=""stimuli/darkgreenblue.png"" style=""width: 200px;height: 200px;""></button>",1,darkgreenblue,mustard,"[""darkgreenblue"",""mustard"",""low nameability""]",right-left,"[""mustard"",""darkgreenblue""]",1,low nameability,4,right,response,1,CAN_101
/Users/martincz/Documents/Madison/Sapirlab/colorRuleKid/norming/v1/analysis/../data/raw_data/adults/color-rule-kid-norming_CAN_101_FINAL_SESSION_2023-03-06_12h01.16.859.csv,html-button-response,38,830454,0.0-30.0-0.0,CAN_101,101,NA,NA,NA,NA,NA,750,"<button class=""jspsych-btn""><img src=""stimuli/purple.png"" style=""width: 200px;height: 200px;""></button>",1,purple,yellow,"[""purple"",""yellow"",""high nameability""]",right-left,"[""yellow"",""purple""]",1,high nameability,5,right,response,1,CAN_101
/Users/martincz/Documents/Madison/Sapirlab/colorRuleKid/norming/v1/analysis/../data/raw_data/adults/color-rule-kid-norming_CAN_101_FINAL_SESSION_2023-03-06_12h01.16.859.csv,html-button-response,42,833535,0.0-33.0-0.0,CAN_101,101,NA,NA,NA,NA,NA,1625,"<button class=""jspsych-btn""><img src=""stimuli/red.png"" style=""width: 200px;height: 200px;""></button>",0,red,purple,"[""red"",""purple"",""high nameability""]",left-right,"[""red"",""purple"",""high nameability""]",1,high nameability,6,left,response,1,CAN_101
/Users/martincz/Documents/Madison/Sapirlab/colorRuleKid/norming/v1/analysis/../data/raw_data/adults/color-rule-kid-norming_CAN_101_FINAL_SESSION_2023-03-06_12h01.16.859.csv,html-button-response,46,835841,0.0-36.0-0.0,CAN_101,101,NA,NA,NA,NA,NA,812,"<button class=""jspsych-btn""><img src=""stimuli/brown.png"" style=""width: 200px;height: 200px;""></button>",0,brown,orange,"[""brown"",""orange"",""high nameability""]",left-right,"[""brown"",""orange"",""high nameability""]",1,high nameability,7,left,response,1,CAN_101
/Users/martincz/Documents/Madison/Sapirlab/colorRuleKid/norming/v1/analysis/../data/raw_data/adults/color-rule-kid-norming_CAN_101_FINAL_SESSION_2023-03-06_12h01.16.859.csv,html-button-response,50,838250,0.0-39.0-0.0,CAN_101,101,NA,NA,NA,NA,NA,803,"<button class=""jspsych-btn""><img src=""stimuli/turquoise.png"" style=""width: 200px;height: 200px;""></button>",1,turquoise,pink,"[""turquoise"",""pink"",""low nameability""]",right-left,"[""pink"",""turquoise""]",1,low nameability,8,right,response,1,CAN_101
